GEOID,NAME,variable,estimate,moe,rank,group_assigned
48151,"Fisher County, Texas",pop17,3875,NA,212,12
48095,"Concho County, Texas",pop17,3858,NA,213,33
48105,"Crockett County, Texas",pop17,3836,144,214,3
48275,"Knox County, Texas",pop17,3753,NA,215,17
48383,"Reagan County, Texas",pop17,3735,NA,216,10
48229,"Hudspeth County, Texas",pop17,3702,NA,217,1
48271,"Kinney County, Texas",pop17,3631,NA,218,36
48023,"Baylor County, Texas",pop17,3602,NA,219,34
48461,"Upton County, Texas",pop17,3575,NA,220,23
48295,"Lipscomb County, Texas",pop17,3495,NA,221,27
48129,"Donley County, Texas",pop17,3433,NA,222,20
48385,"Real County, Texas",pop17,3358,NA,223,22
48417,"Shackelford County, Texas",pop17,3348,NA,224,20
48081,"Coke County, Texas",pop17,3238,NA,225,30
48413,"Schleicher County, Texas",pop17,3122,NA,226,22
48191,"Hall County, Texas",pop17,3102,NA,227,34
48421,"Sherman County, Texas",pop17,3067,NA,228,13
48087,"Collingsworth County, Texas",pop17,3026,NA,229,14
48079,"Cochran County, Texas",pop17,2932,NA,230,22
48109,"Culberson County, Texas",pop17,2257,NA,231,25
48243,"Jeff Davis County, Texas",pop17,2236,NA,232,32
48125,"Dickens County, Texas",pop17,2224,NA,233,2
48327,"Menard County, Texas",pop17,2123,NA,234,38
48137,"Edwards County, Texas",pop17,2111,182,235,2
48359,"Oldham County, Texas",pop17,2083,NA,236,24
48011,"Armstrong County, Texas",pop17,1929,117,237,19
48235,"Irion County, Texas",pop17,1592,142,238,1
48045,"Briscoe County, Texas",pop17,1591,108,239,15
48447,"Throckmorton County, Texas",pop17,1541,142,240,21
48101,"Cottle County, Texas",pop17,1498,121,241,23
48173,"Glasscock County, Texas",pop17,1420,123,242,4
48155,"Foard County, Texas",pop17,1414,158,243,16
48431,"Sterling County, Texas",pop17,1139,158,244,4
48345,"Motley County, Texas",pop17,1114,108,245,34
48433,"Stonewall County, Texas",pop17,1084,190,246,13
48393,"Roberts County, Texas",pop17,889,117,247,36
48443,"Terrell County, Texas",pop17,721,144,248,11
48263,"Kent County, Texas",pop17,680,122,249,34
48033,"Borden County, Texas",pop17,602,105,250,37
48311,"McMullen County, Texas",pop17,600,182,251,37
48261,"Kenedy County, Texas",pop17,564,214,252,33
48269,"King County, Texas",pop17,289,88,253,29
48301,"Loving County, Texas",pop17,74,33,254,20
